frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
1,5,5,5,1,1,7,5,5,5,0,0,0,3,3,3
2,4,4,4,5,0,0,6,5,5,6,6,0,4,4,3
3,6,6,6,0,2,2,1,1,1,7,7,3,1,1,1
4,1,1,1,1,5,5,0,0,3,2,2,4,1,2,2
5,5,6,6,2,2,5,3,7,7,7,7,7,4,4,4
6,1,1,1,7,0,0,1,4,4,5,5,5,0,1,1
7,4,4,1,5,5,0,6,5,5,0,0,1,5,6,6
8,3,3,4,5,6,6,0,2,2,6,1,1,3,3,3
9,1,1,1,0,0,0,0,3,3,6,6,0,0,0,0
10,6,6,4,6,6,1,0,0,3,4,4,4,5,6,6
11,6,6,4,1,5,5,2,4,4,4,6,6,6,6,6
12,1,1,1,0,0,0,1,1,4,0,0,0,5,5,5
13,0,3,3,3,3,3,0,0,0,3,5,5,7,3,3
14,6,6,4,2,5,5,3,3,3,2,5,5,6,1,1
15,2,2,2,5,5,0,6,6,5,5,5,5,5,5,5
16,2,2,2,5,6,6,0,0,3,3,3,0,5,5,5
17,5,6,6,5,5,6,1,1,4,5,7,7,4,4,4
18,0,3,3,1,1,1,7,0,0,5,5,4,0,0,1
19,3,3,4,4,1,1,1,1,1,5,5,5,6,6,2
20,5,5,5,4,4,4,6,6,5,2,2,5,4,6,6
21,1,1,1,2,5,5,1,1,1,6,0,0,0,5,5
22,1,1,3,4,4,4,6,6,6,1,3,3,1,1,7
23,4,2,2,0,0,0,5,5,5,7,7,3,3,3,4
24,2,7,7,1,1,5,3,3,3,4,4,6,4,4,4
25,5,5,5,7,0,0,2,2,2,4,6,6,6,2,2
26,4,1,1,7,7,7,6,6,6,5,5,7,4,4,3
27,4,4,2,1,1,5,2,4,4,0,0,0,2,2,2
28,0,0,5,6,4,4,5,5,1,2,5,5,6,6,6
29,4,4,4,6,6,1,1,1,4,0,0,0,4,6,6
30,5,5,5,2,2,5,7,0,0,0,0,0,1,1,1
31,2,2,2,7,7,7,1,1,4,3,3,5,5,6,6
32,7,7,0,1,1,7,0,2,2,1,1,1,7,7,3
33,3,3,0,0,0,3,3,3,3,0,0,0,0,0,1
34,7,7,7,0,0,3,5,5,5,3,3,3,5,6,6
35,1,1,1,7,7,0,5,0,0,3,3,0,0,0,1
36,7,7,7,1,7,7,6,6,6,3,3,3,0,0,0
37,6,6,6,2,5,5,2,4,4,6,6,0,4,4,4
38,5,5,5,1,1,1,7,7,7,0,0,1,4,6,6
39,4,4,1,4,4,4,3,3,7,0,1,1,7,7,3
40,5,5,6,5,5,5,7,0,0,6,6,1,4,4,4
41,4,4,1,2,2,5,4,4,6,5,4,4,0,0,1
42,4,4,4,5,5,6,0,0,2,0,2,2,1,7,7
43,3,3,3,6,6,6,3,7,7,1,1,3,0,0,0
44,3,0,0,5,0,0,1,1,1,0,0,0,2,2,0
45,0,0,0,2,2,5,7,7,7,4,4,4,5,6,6
46,1,1,1,5,6,6,0,0,3,1,1,2,0,0,0
47,3,4,4,7,7,7,7,0,0,5,5,5,7,3,3
48,4,4,4,2,2,2,1,4,4,5,5,5,4,4,3
49,3,0,0,0,0,2,3,3,3,6,1,1,0,0,5
50,6,4,4,2,5,5,4,4,6,3,3,3,3,3,0
51,0,5,5,3,3,3,7,0,0,5,5,5,4,6,6
52,7,7,7,0,2,2,6,6,5,5,4,4,2,4,4
53,1,1,1,6,1,1,1,4,4,4,4,4,1,1,1
54,1,1,3,6,6,1,5,5,1,4,4,4,4,4,6
55,0,0,0,2,5,5,6,6,5,3,5,5,4,6,6
56,6,4,4,6,1,1,0,0,0,6,0,0,4,4,4
57,1,1,3,3,3,6,6,6,5,4,6,6,4,4,4
58,5,5,5,3,6,6,0,3,3,2,2,2,5,5,5
59,7,7,7,1,5,5,0,3,3,5,4,4,0,1,1
60,5,6,6,6,6,4,2,2,2,4,4,6,0,0,1
61,3,4,4,5,5,5,4,4,6,3,3,0,4,4,3
62,6,4,4,6,6,6,1,4,4,1,1,1,2,0,0
63,3,4,4,6,1,1,3,3,3,3,3,5,2,2,0
64,4,4,2,0,0,3,2,2,2,1,1,2,1,1,7
65,2,2,2,1,5,5,3,7,7,7,7,3,5,5,5
66,3,3,3,4,4,4,7,7,7,3,3,3,6,1,1
67,7,7,7,4,1,1,0,0,3,0,2,2,3,3,4
68,3,3,0,4,1,1,4,4,6,4,6,6,3,3,3
69,7,0,0,0,0,2,6,5,5,3,3,5,6,1,1
70,0,3,3,5,0,0,3,3,3,6,6,0,2,0,0
71,1,1,1,7,7,7,5,5,5,3,3,3,3,3,3
