frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
1,3,10,5,5,7,8,2,4,3,11,1,2,2,3,4
2,8,0,3,0,7,6,2,10,7,4,1,5,0,7,10
3,9,7,2,7,6,1,4,4,3,2,1,0,11,2,5
4,4,8,2,5,9,8,7,9,0,11,1,2,3,5,1
5,0,9,9,4,3,5,2,0,11,9,8,6,1,9,9
6,8,0,1,2,7,4,2,2,2,2,1,0,10,7,9
7,4,4,4,10,2,7,0,1,4,4,1,5,4,4,4
8,0,3,6,10,1,4,2,5,8,6,6,6,7,9,0
9,7,7,7,4,2,3,7,7,7,7,7,3,9,0,3
10,1,8,5,8,10,1,6,7,9,3,4,1,5,2,7
11,10,10,10,5,1,4,4,8,6,10,10,10,8,3,4
12,7,10,2,10,2,7,7,9,0,8,10,7,3,4,1
13,1,8,5,2,4,4,3,5,7,4,1,5,4,4,4
14,2,5,7,1,4,2,5,7,6,0,0,0,5,2,10
15,2,8,0,3,0,1,7,9,0,9,9,9,5,7,4
16,10,10,10,9,3,11,2,0,1,2,10,7,4,1,10
17,1,9,7,3,0,1,2,0,11,8,0,7,10,8,5
18,10,1,4,10,1,4,9,0,10,4,3,8,0,3,6
19,8,2,0,8,8,8,1,4,8,7,0,8,5,2,10
20,1,4,3,0,7,6,5,2,0,8,2,10,4,4,4
21,1,9,7,3,0,1,9,0,10,5,2,1,10,8,5
22,7,10,8,4,8,3,3,5,7,4,3,2,0,8,3
23,6,7,5,1,4,3,2,2,2,0,8,2,10,3,1
24,7,0,3,4,8,9,5,7,6,3,11,1,10,10,10
25,3,6,7,1,1,1,1,1,1,8,6,3,1,0,7
26,1,8,5,8,10,1,2,2,2,3,8,5,5,1,0
27,7,10,2,2,3,0,0,10,3,8,0,7,4,5,2
28,6,7,5,7,4,8,8,6,7,5,8,0,2,7,0
29,4,4,1,2,3,0,4,8,0,1,5,8,10,7,9
30,0,7,10,3,11,7,2,10,7,3,2,4,5,5,5
31,0,8,8,8,0,10,8,6,7,2,1,0,3,1,8
32,2,3,10,1,1,1,1,1,1,0,7,5,5,1,0
33,0,1,2,1,4,3,8,8,8,5,2,10,4,7,3
34,1,9,7,3,0,1,6,7,9,9,8,6,1,2,2
