frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
1,0,0,5,7,7,0,1,1,4,4,6,6,2,0,0
2,0,0,0,6,6,4,1,4,4,2,4,4,0,0,1
3,2,2,2,1,1,7,3,3,3,4,4,6,1,1,2
4,0,0,3,6,4,4,1,1,4,3,0,0,5,5,6
5,5,5,6,0,2,2,3,3,3,3,0,0,2,2,2
6,5,6,6,4,4,4,6,5,5,2,5,5,3,3,3
7,4,4,2,1,1,7,3,3,7,5,7,7,6,6,1
8,2,7,7,7,0,0,3,3,3,1,1,3,5,6,6
9,3,3,0,3,3,3,2,2,2,1,1,1,1,1,1
10,1,1,3,5,5,0,5,5,0,3,3,0,3,3,3
11,0,0,5,5,5,5,5,5,0,6,6,6,2,0,0
12,0,3,3,0,3,3,4,4,4,4,4,4,3,4,4
13,1,1,1,4,4,4,7,0,0,4,6,6,1,2,2
14,5,5,5,2,5,5,1,1,1,6,6,1,0,0,0
15,4,4,4,6,6,6,6,5,5,7,3,3,1,1,1
16,5,5,5,0,2,2,5,5,5,1,1,2,5,5,5
17,2,7,7,7,0,0,3,3,3,6,1,1,1,1,1
18,0,0,5,4,4,4,3,3,7,2,4,4,4,4,3
19,3,3,4,7,7,0,2,2,2,1,3,3,3,3,3
20,3,0,0,0,0,0,3,7,7,4,6,6,2,4,4
21,3,0,0,3,6,6,1,1,4,4,4,4,0,0,0
22,3,3,4,6,6,6,3,3,3,0,1,1,6,6,2
23,5,5,5,6,6,1,4,5,5,3,3,3,3,3,0
24,1,1,1,3,3,3,3,3,7,3,3,3,3,0,0
25,1,1,3,1,5,5,5,0,0,6,6,6,2,0,0
26,4,4,2,3,3,6,2,2,2,0,2,2,3,0,0
27,7,7,7,0,0,2,5,0,0,0,1,1,6,6,1
28,4,4,1,3,6,6,0,2,2,4,4,4,4,4,4
29,2,2,7,0,3,3,7,0,0,3,3,0,0,0,1
30,1,1,1,4,4,4,3,7,7,6,6,0,4,4,6
31,1,3,3,2,2,2,0,0,0,3,5,5,6,1,1
32,4,2,2,5,5,6,2,2,2,3,5,5,0,0,0
33,2,2,2,0,2,2,4,4,4,3,5,5,5,5,5
34,3,3,3,0,2,2,0,0,2,5,5,4,1,1,7
35,3,4,4,4,1,1,4,5,5,0,0,1,4,4,4
36,4,2,2,2,2,2,4,5,5,4,4,6,3,3,3
37,4,4,2,3,6,6,0,0,0,2,2,5,7,3,3
38,6,6,6,2,5,5,2,2,4,0,0,2,2,0,0
39,6,6,4,3,3,6,7,7,7,2,2,5,3,3,3
40,6,6,6,7,7,0,5,5,5,1,1,3,3,4,4
41,7,7,7,2,2,5,3,7,7,5,5,4,7,3,3
42,7,7,0,5,5,5,5,5,0,6,6,0,5,6,6
43,3,3,0,5,6,6,5,1,1,0,1,1,0,5,5
44,3,3,0,2,5,5,0,3,3,5,5,4,7,3,3
45,6,6,6,7,7,7,1,1,4,4,6,6,0,0,1
46,0,0,5,4,4,1,5,0,0,1,1,3,1,7,7
47,7,0,0,3,3,3,4,4,6,3,0,0,6,6,2
48,4,4,2,6,6,1,6,6,6,4,4,4,2,2,4
49,3,4,4,3,3,3,1,1,4,2,4,4,2,0,0
50,0,0,0,3,3,3,2,2,2,1,1,1,6,1,1
51,7,0,0,6,6,1,6,6,6,6,0,0,7,3,3
52,2,2,2,2,2,5,6,5,5,4,4,6,1,1,2
53,3,3,4,4,4,4,1,4,4,1,1,2,0,0,0
54,2,7,7,2,5,5,4,4,6,4,4,4,2,2,4
55,3,3,3,4,4,4,5,5,0,5,4,4,0,1,1
56,4,4,4,7,0,0,5,5,1,3,3,5,3,3,3
57,2,2,2,3,3,3,7,7,7,1,3,3,5,5,5
58,5,5,6,4,4,4,2,2,2,0,2,2,5,5,6
59,7,7,7,7,0,0,4,6,6,2,2,5,2,2,4
60,4,4,2,4,4,4,5,1,1,3,0,0,0,5,5
