frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
1,5,0,0,5,5,3,1,1,0,1,2,2,0,0,0
2,1,1,1,1,1,2,3,3,3,0,5,5,4,0,0
3,0,3,3,1,1,1,5,5,0,0,4,4,7,7,3
4,3,3,3,1,3,3,0,0,0,3,3,0,5,5,0
5,7,7,3,0,0,5,0,2,2,6,6,6,3,2,2
6,1,0,0,4,4,4,6,6,4,3,3,3,7,3,3
7,0,0,3,1,1,2,1,1,0,1,1,1,3,3,3
8,0,0,4,4,4,1,3,7,7,2,2,3,0,0,0
9,2,0,0,5,1,1,1,1,1,1,2,2,3,1,1
10,1,1,1,2,2,3,0,2,2,3,3,3,3,3,3
11,1,1,1,2,0,0,0,6,6,1,1,1,3,6,6
12,0,1,1,5,5,5,5,3,3,2,0,0,2,2,2
13,2,2,2,0,0,5,5,5,0,2,3,3,5,5,5
14,3,3,3,4,4,1,3,2,2,0,0,0,2,2,0
15,1,7,7,5,3,3,4,4,1,2,2,2,2,0,0
16,2,4,4,0,0,5,3,5,5,0,0,0,5,0,0
17,1,1,1,0,0,0,6,6,4,7,7,7,1,3,3
18,0,0,1,2,2,3,4,1,1,0,4,4,4,1,1
19,2,0,0,4,4,1,4,4,4,0,0,0,2,0,0
20,5,5,4,4,1,1,3,3,3,1,1,3,0,0,0
21,2,2,2,0,0,5,4,4,4,3,0,0,5,5,4
22,5,5,5,5,3,3,5,3,3,1,1,1,7,3,3
23,1,5,5,3,0,0,3,3,7,1,1,2,0,0,0
24,0,4,4,1,1,3,5,5,3,0,0,7,5,5,4
25,1,1,1,1,1,2,2,2,2,4,8,1,7,3,3
26,3,3,3,7,4,4,1,3,3,3,3,0,4,4,4
27,0,2,2,1,1,1,0,0,6,1,3,3,4,4,0
28,0,0,0,2,2,0,1,1,1,3,3,0,1,1,5
29,4,4,4,0,5,5,6,6,6,4,4,4,2,2,2
30,1,1,5,5,5,1,0,0,2,2,2,2,1,1,5
31,1,1,5,5,5,5,0,0,2,0,0,5,3,1,1
32,2,4,4,5,3,3,1,1,1,4,4,1,6,6,6
33,3,3,3,6,6,6,1,4,4,4,4,4,3,3,6
34,2,4,4,1,1,1,2,2,2,3,0,0,4,4,4
35,1,1,0,3,3,0,3,5,5,6,6,6,5,4,4
36,2,2,4,3,3,0,0,0,1,2,2,2,3,3,3
37,3,1,1,4,4,1,5,5,3,6,6,6,0,0,1
