frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2
1,4,4,4,5,1,1,1,6,1
2,3,3,0,2,2,3,5,5,0
3,1,1,1,4,4,4,3,3,3
4,4,4,1,1,0,2,0,4,4
5,4,1,0,5,1,1,1,1,1
6,0,0,1,3,3,3,5,0,3
7,4,4,4,3,3,3,0,2,2
8,6,4,4,1,0,2,2,2,2
9,0,1,1,2,2,3,0,3,7
10,1,1,1,4,0,4,2,2,5
11,4,6,4,1,0,2,4,4,4
12,1,1,1,1,5,1,7,3,3
13,3,3,0,3,7,4,5,0,3
14,0,0,1,4,4,1,0,0,4
15,4,6,4,3,7,4,2,2,5
16,0,3,3,1,1,1,3,3,4
17,3,0,3,3,3,7,2,5,5
18,7,2,2,1,1,1,2,2,2
19,1,1,1,1,1,1,6,1,1
20,0,3,3,0,3,3,1,2,0
21,4,4,1,6,2,2,4,4,4
22,1,2,7,7,4,0,3,3,3
23,4,1,0,5,1,1,5,0,3
24,2,2,5,4,0,4,6,1,1
25,2,2,2,7,4,0,3,3,3
26,3,0,3,3,0,3,1,2,0
27,2,2,5,2,3,0,0,4,4
28,1,2,7,1,0,2,4,4,1
29,3,3,0,0,4,4,3,3,3
30,5,5,3,4,4,4,7,3,3
31,2,5,5,4,4,4,4,4,1
32,0,0,1,2,2,2,6,1,1
33,4,4,4,3,3,3,2,0,2
34,4,4,1,4,1,5,1,1,2
35,2,5,5,3,3,7,4,4,1
36,1,1,1,2,6,2,2,0,2
37,4,4,4,6,2,2,5,0,3
38,0,4,6,1,0,2,2,2,5
39,1,2,7,2,3,0,0,0,4
40,0,0,1,2,6,2,1,6,1
41,2,2,2,2,2,2,0,4,4
42,3,3,3,1,0,2,1,6,1
43,2,2,2,3,7,4,2,2,2
44,0,3,3,4,4,1,4,0,0
45,3,0,3,2,2,3,0,0,4
46,1,2,7,2,2,2,0,0,4
47,2,7,2,4,4,4,1,6,1
48,3,0,4,0,4,4,1,1,1
49,2,5,5,1,0,2,1,1,1
50,5,3,0,3,7,4,7,3,3
51,6,4,4,1,5,1,3,3,3
52,1,0,0,4,4,1,3,3,3
53,5,5,3,1,0,2,2,0,2
54,4,1,0,3,7,4,0,2,2
55,1,1,1,3,3,7,1,1,1
56,5,5,3,2,6,2,4,4,1
57,7,2,2,1,0,2,0,4,4
58,2,2,5,3,7,4,0,4,4
59,0,3,3,3,7,4,3,7,3
60,2,2,2,1,1,1,3,4,0
61,7,2,2,3,7,4,3,7,3
62,3,0,4,7,4,0,3,3,3
63,4,4,4,1,5,1,1,2,0
64,4,4,1,4,1,5,5,0,3
65,2,2,5,0,2,6,6,1,1
66,1,1,2,4,0,4,1,1,2
67,7,2,2,2,2,3,4,4,1
68,2,2,2,4,1,5,5,0,3
69,2,2,2,1,5,1,3,4,0
70,2,5,5,1,0,2,4,1,6
71,4,6,4,7,4,0,3,4,0
72,1,1,2,4,4,1,4,4,1
73,2,7,2,4,0,4,3,4,0
74,1,1,2,0,3,3,4,1,6
75,1,1,1,3,3,3,3,4,0
76,2,7,2,1,1,1,0,2,2
77,1,2,7,7,4,0,3,3,3
78,4,4,1,2,3,0,5,5,0
79,6,4,4,6,2,2,4,4,4
80,2,2,2,3,0,3,2,5,5
81,0,4,6,3,7,4,4,0,0
82,4,4,1,4,0,4,1,2,0
83,1,2,7,3,3,3,6,1,1
84,1,1,2,3,7,4,0,2,2
85,1,1,1,3,3,7,2,0,2
86,6,4,4,1,5,1,0,3,7
87,4,1,0,2,6,2,1,6,1
88,4,1,0,4,1,5,5,0,3
89,3,3,3,0,4,4,1,2,0
90,0,0,1,0,4,4,5,5,0
91,1,2,7,4,1,5,2,2,5
92,2,2,5,3,3,3,4,0,0
93,1,0,0,6,2,2,2,0,2
94,4,4,1,1,5,1,3,7,3
95,3,0,3,0,3,3,3,3,3
96,2,7,2,3,3,7,0,0,4
97,4,4,4,4,0,4,0,4,4
98,6,4,4,2,2,2,5,5,0
99,7,2,2,4,0,4,0,0,4
100,5,5,3,0,4,4,3,4,0
101,5,3,0,0,4,4,0,0,4
102,0,3,3,1,0,2,7,3,3
103,6,4,4,3,0,3,2,0,2
104,5,3,0,3,7,4,5,5,0
105,0,3,3,3,3,7,2,5,5
106,0,4,6,4,4,4,5,0,3
107,3,3,3,0,2,6,2,5,5
108,0,4,6,3,7,4,2,0,2
109,2,2,5,3,3,7,6,1,1
110,4,6,4,5,1,1,1,1,2
111,0,4,6,3,3,3,4,4,4
112,6,4,4,5,1,1,0,2,2
113,4,6,4,0,3,3,4,4,4
114,1,1,1,2,3,0,1,1,1
115,3,3,0,1,5,1,1,6,1
116,2,2,2,2,2,3,4,4,1
117,0,4,6,2,3,0,1,6,1
118,0,0,1,0,3,3,2,2,5
119,0,0,1,1,1,0,3,3,3
120,4,4,4,1,1,1,6,1,1
121,2,2,2,3,0,3,0,3,7
122,1,0,0,4,0,4,1,6,1
123,1,2,7,1,1,1,5,5,0
124,2,7,2,0,4,4,4,0,0
125,5,3,0,2,2,3,7,3,3
126,3,3,0,7,4,0,7,3,3
127,3,3,0,2,6,2,1,2,0
128,7,2,2,4,1,5,0,4,4
129,4,4,1,0,2,6,2,2,2
130,3,0,3,1,1,1,2,0,2
131,0,0,1,1,1,0,0,4,4
132,4,6,4,2,6,2,2,0,2
133,6,4,4,2,2,3,2,2,5
134,5,5,3,0,4,4,5,5,0
135,2,7,2,6,2,2,4,4,1
136,6,4,4,4,4,1,2,2,5
137,1,1,2,0,2,6,1,6,1
138,2,7,2,1,5,1,4,0,0
139,0,1,1,1,0,2,2,2,5
140,7,2,2,3,3,3,3,4,0
141,4,4,4,2,2,2,5,5,0
142,2,2,5,2,3,0,0,0,4
143,1,0,0,3,0,3,3,3,3
144,5,3,0,3,0,3,0,4,4
145,3,3,0,3,0,3,2,0,2
146,3,3,0,3,3,3,4,0,0
147,2,2,2,4,0,4,5,5,0
148,0,4,6,7,4,0,1,6,1
149,5,3,0,3,3,3,3,7,3
150,4,6,4,6,2,2,5,5,0
151,2,2,2,1,1,1,0,4,4
152,4,1,0,4,1,5,5,5,0
153,3,0,3,2,2,2,4,4,4
154,1,1,1,7,4,0,4,4,4
155,7,2,2,3,3,3,3,7,3
156,5,3,0,2,3,0,0,0,4
157,3,0,4,3,3,7,5,0,3
158,3,3,3,3,3,7,1,6,1
159,3,3,3,3,3,7,0,2,2
160,4,4,4,2,3,0,3,3,3
161,7,2,2,5,1,1,4,0,0
162,4,4,1,0,2,6,4,0,0
163,1,0,0,0,2,6,3,7,3
164,1,0,0,3,3,7,0,0,4
165,3,3,0,2,2,2,7,3,3
166,2,2,2,1,0,2,3,3,3
167,5,5,3,3,3,7,1,6,1
168,2,2,5,4,0,4,3,7,3
169,1,0,0,2,3,0,2,0,2
170,4,4,4,3,3,3,6,1,1
171,0,1,1,4,0,4,1,1,1
172,6,4,4,4,1,5,3,7,3
173,3,3,3,2,6,2,4,4,4
174,4,4,1,2,6,2,4,4,4
175,0,0,1,1,1,1,1,1,1
176,5,3,0,3,0,3,5,5,0
177,5,3,0,3,7,4,4,4,1
178,4,4,1,3,3,7,5,0,3
179,0,1,1,4,0,4,4,1,6
180,3,3,3,1,1,0,2,5,5
181,1,1,1,5,1,1,0,0,4
182,1,2,7,4,4,4,3,7,3
183,2,2,2,0,3,3,1,6,1
184,0,4,6,4,4,4,1,2,0
185,2,5,5,2,2,3,2,2,2
186,2,5,5,3,0,3,2,5,5
187,2,2,2,3,3,7,2,2,5
188,3,0,4,4,4,1,2,5,5
189,1,2,7,3,3,3,2,5,5
190,2,5,5,4,0,4,5,0,3
191,0,3,3,3,3,3,7,3,3
192,4,4,1,6,2,2,4,4,4
193,4,4,4,5,1,1,4,4,4
194,0,4,6,3,3,3,4,4,1
195,4,1,0,1,5,1,2,5,5
196,3,3,0,7,4,0,2,0,2
197,3,3,0,2,6,2,0,3,7
198,1,1,1,3,3,3,3,7,3
199,2,5,5,4,4,1,3,3,3
200,7,2,2,4,0,4,4,4,1
201,4,4,4,3,0,3,1,1,2
202,4,6,4,5,1,1,4,4,4
203,1,2,7,3,3,3,2,5,5
204,3,3,0,2,6,2,3,3,3
205,3,0,4,6,2,2,3,4,0
206,4,1,0,3,0,3,5,5,0
207,2,2,5,1,5,1,3,7,3
208,3,3,3,3,3,3,5,0,3
209,3,3,0,5,1,1,5,5,0
210,2,5,5,0,3,3,1,6,1
211,4,1,0,4,4,4,1,1,1
212,4,1,0,4,4,1,3,3,3
213,1,1,2,4,4,4,3,7,3
214,2,7,2,3,3,7,3,3,4
215,4,4,4,4,0,4,1,6,1
216,4,4,1,0,3,3,3,4,0
217,4,1,0,4,0,4,4,0,0
218,4,4,4,2,2,2,5,0,3
219,2,2,5,2,2,2,0,3,7
220,2,2,2,7,4,0,2,5,5
221,3,0,3,0,2,6,4,4,1
222,0,1,1,1,5,1,5,5,0
223,3,0,3,2,6,2,2,0,2
224,2,5,5,3,3,7,2,2,2
225,4,1,0,0,4,4,4,1,6
226,0,0,1,1,0,2,4,1,6
227,2,2,5,0,2,6,4,4,1
228,3,3,0,3,0,3,1,6,1
229,0,3,3,5,1,1,3,7,3
230,2,7,2,0,3,3,3,3,3
231,4,1,0,4,1,5,0,3,7
232,4,1,0,1,5,1,3,7,3
233,2,5,5,3,0,3,3,3,4
234,4,6,4,7,4,0,1,1,2
